36,L,LH,35,1,95.4236,0.03836,3.6604,84.4,88.1,91.8,95.4,99.1,102.7,106.4,2025-05-31 00:00:00,2025-06-01 00:00:00
37,L,LH,36,1,96.0835,0.03858,3.7069,85,88.7,92.4,96.1,99.8,103.5,107.2,2025-05-31 00:00:00,2025-06-01 00:00:00
38,L,LH,37,1,96.7337,0.03879,3.7523,85.5,89.2,93,96.7,100.5,104.2,108,2025-05-31 00:00:00,2025-06-01 00:00:00
39,L,LH,38,1,97.3749,0.039,3.7976,86,89.8,93.6,97.4,101.2,105,108.8,2025-05-31 00:00:00,2025-06-01 00:00:00
40,L,LH,39,1,98.0073,0.03919,3.8409,86.5,90.3,94.2,98,101.8,105.7,109.5,2025-05-31 00:00:00,2025-06-01 00:00:00
41,L,LH,40,1,98.631,0.03937,3.8831,87,90.9,94.7,98.6,102.5,106.4,110.3,2025-05-31 00:00:00,2025-06-01 00:00:00
42,L,LH,41,1,99.2459,0.03954,3.9242,87.5,91.4,95.3,99.2,103.2,107.1,111,2025-05-31 00:00:00,2025-06-01 00:00:00
43,L,LH,42,1,99.8515,0.03971,3.9651,88,91.9,95.9,99.9,103.8,107.8,111.7,2025-05-31 00:00:00,2025-06-01 00:00:00
44,L,LH,43,1,100.4485,0.03986,4.0039,88.4,92.4,96.4,100.4,104.5,108.5,112.5,2025-05-31 00:00:00,2025-06-01 00:00:00
45,L,LH,44,1,101.0374,0.04002,4.0435,88.9,93,97,101,105.1,109.1,113.2,2025-05-31 00:00:00,2025-06-01 00:00:00
46,L,LH,45,1,101.6186,0.04016,4.081,89.4,93.5,97.5,101.6,105.7,109.8,113.9,2025-05-31 00:00:00,2025-06-01 00:00:00
47,L,LH,46,1,102.1933,0.04031,4.1194,89.8,94,98.1,102.2,106.3,110.4,114.6,2025-05-31 00:00:00,2025-06-01 00:00:00
48,L,LH,47,1,102.7625,0.04045,4.1567,90.3,94.4,98.6,102.8,106.9,111.1,115.2,2025-05-31 00:00:00,2025-06-01 00:00:00
49,L,LH,48,1,103.3273,0.04059,4.1941,90.7,94.9,99.1,103.3,107.5,111.7,115.9,2025-05-31 00:00:00,2025-06-01 00:00:00
50,L,LH,49,1,103.8886,0.04073,4.2314,91.2,95.4,99.7,103.9,108.1,112.4,116.6,2025-05-31 00:00:00,2025-06-01 00:00:00
51,L,LH,50,1,104.4473,0.04086,4.2677,91.6,95.9,100.2,104.4,108.7,113,117.3,2025-05-31 00:00:00,2025-06-01 00:00:00
